image_id,method,block_size,num_disparities,EPE,Bad-3px (%),Runtime (ms),Valid prediction ratio (%)
000019,SGBM,7,128,1.5412041,15.607792625986153,27.48520008753985,89.65813341920249
000000,SGBM,9,128,1.0042416,16.04383253722956,25.725800078362226,88.52149480191065
000001,SGBM,9,128,1.0050021,16.001866106834616,26.352199958637357,86.57522743177047
000002,SGBM,9,128,1.6979035,24.08638535031847,31.409100047312677,83.03443471337579
000003,SGBM,9,128,1.6816324,21.975942837814983,26.52670000679791,84.64928970065957
000004,SGBM,9,128,2.6949067,29.142226849608793,27.721200021915138,80.75499706206769
000005,SGBM,9,128,1.9168673,24.57894340353634,31.580999959260225,82.75416751864488
000006,SGBM,9,128,2.5449307,31.080789752618436,26.19899995625019,83.65341429675009
000007,SGBM,9,128,0.82786494,13.242313952850376,25.4541999893263,89.34469703897435
000008,SGBM,9,128,0.84977627,6.7274834046898935,26.187899988144636,95.14906319965435
000009,SGBM,9,128,0.8331728,10.252403720949612,30.872600036673248,91.02055272560601
000010,SGBM,9,128,0.867608,13.155538042699527,27.17440004926175,88.760925634045
000011,SGBM,9,128,1.0091329,13.123245231871431,25.753899943083525,89.1857875883435
000012,SGBM,9,128,1.1313236,17.570630199078007,27.545900084078312,85.97440057688841
000013,SGBM,9,128,0.8868159,14.077166064981949,24.674099986441433,88.82897111913357
000014,SGBM,9,128,0.8777845,12.802495588606,30.45109997037798,90.85370977228804
000015,SGBM,9,128,0.7473872,10.622650581344523,26.6529000364244,91.40440597954367
000016,SGBM,9,128,0.7346159,8.759175607001694,25.180500000715256,92.81832298136646
000017,SGBM,9,128,0.8211372,21.894894029498836,25.583700044080615,80.38694296717404
000018,SGBM,9,128,1.7300332,18.51303317535545,24.042899953201413,87.17825625102141
000019,SGBM,9,128,1.5903044,15.507969731122204,24.737500003539026,89.91681425428004
000000,SGBM,11,128,1.0892235,16.123630233211575,25.903300032950938,88.51475133464456
000001,SGBM,11,128,1.0856931,16.39934686260788,25.450599961914122,86.37275484021461
000002,SGBM,11,128,1.8485132,24.712380573248407,34.65119993779808,82.67714968152866
000003,SGBM,11,128,1.8205546,23.384914594960257,31.584499985910952,83.54790292575682
000004,SGBM,11,128,2.7648299,29.13707258239096,29.395499965175986,80.81890997556877
000005,SGBM,11,128,2.0208998,24.843684420098793,36.26510000322014,82.70358691791952
000006,SGBM,11,128,2.5697699,30.63974273754559,33.54480001144111,83.86630257082803
